timestamp,fixed_point,screen_x,screen_y
26.840595960617065,Dashboard,,
27.050129890441895,Dashboard,,
27.21042799949646,Dashboard,,
27.704477071762085,Left Mirror,,
28.032104015350342,Left Mirror,,
28.194998025894165,Left Mirror,,
30.204558849334717,Left Mirror,,
30.535430908203125,,1057.0,422.0
31.108569145202637,Left Mirror,,
31.27077007293701,Left Mirror,,
31.432671070098877,Left Mirror,,
31.598915100097656,Left Mirror,,
31.760682106018066,Left Mirror,,
31.927385091781616,Left Mirror,,
32.25411510467529,Left Mirror,,
32.41933298110962,Left Mirror,,
32.74723410606384,Left Mirror,,
32.90984296798706,Left Mirror,,
33.44359612464905,,1055.0,423.0
37.093494176864624,Left Mirror,,
37.58322787284851,Left Mirror,,
38.7314670085907,Left Mirror,,
38.89701724052429,Left Mirror,,
40.20931792259216,Left Mirror,,
45.374117851257324,Dashboard,,
45.701297998428345,Dashboard,,
46.03046989440918,Dashboard,,
89.77653884887695,Dashboard,,
98.13955783843994,Left Mirror,,
98.63620805740356,Left Mirror,,
99.61726593971252,Dashboard,,
99.82650923728943,Dashboard,,
100.14902400970459,Left Mirror,,
103.34722805023193,Dashboard,,
105.56175708770752,Left Mirror,,
105.89039492607117,Left Mirror,,
106.58941388130188,Left Mirror,,
106.75094199180603,Left Mirror,,
109.04664516448975,Left Mirror,,
109.37614297866821,Left Mirror,,
109.5398120880127,Left Mirror,,
109.94548797607422,Left Mirror,,
110.80801320075989,Left Mirror,,
111.30218696594238,Left Mirror,,
